name,pricing/rate/amount,address,location/lat,location/lng,url
Modern Penthouse Steps Away From The Beach,1000,"San Juan, Puerto Rico",18.45371,-66.05963,https://www.airbnb.com/rooms/16506154
Casa Loiza 2 Pools,999,"San Juan, Puerto Rico",18.45088,-66.04632,https://www.airbnb.com/rooms/36064370
El Cerro: Rock House and Pool House on 30 acres,1000,"Vieques, Puerto Rico",18.10281,-65.47307,https://www.airbnb.com/rooms/19731612
4 Bedroom Oceanview Home with Private Pool,895,"Rincón, Puerto Rico",18.348,-67.263,https://www.airbnb.com/rooms/1845310
Enchanted Group Guesthouse,1090,"San Juan, Puerto Rico",18.46442,-66.1131,https://www.airbnb.com/rooms/39318136
Hacienda Tres Casitas #3 o #4 Private Jacuzzi,1526,"Cabo Rojo, Puerto Rico",18.08231,-67.10701,https://www.airbnb.com/rooms/45753112
"Casa Guava, your private paradise home.",850,"Culebra, Puerto Rico",18.307,-65.251,https://www.airbnb.com/rooms/30288582
Studio - Beaches & Town,900,"Cabo Rojo, Puerto Rico",18.03371,-67.18092,https://www.airbnb.com/rooms/26791
"House at Ocean Park, Walt to the Beach",1200,"San Juan, Puerto Rico",18.45201,-66.0511,https://www.airbnb.com/rooms/17362868
"Paradise Steps Away from Beach, Ideal for Families",900,"Rincon, Puerto Rico",18.37564,-67.24039,https://www.airbnb.com/rooms/18449794
Isabela Mansion for Vacation & Event Sleeps 35,1215,"Isabela, Puerto Rico",18.44292,-67.04779,https://www.airbnb.com/rooms/52672668
"BEACHFRONT weddings,events, retreats for up to 24",1140,"Rincón, Puerto Rico",18.37,-67.257,https://www.airbnb.com/rooms/6053134
"The Terraces at Rincón, Caribbean Sea View Villa",790,"Rincon, Puerto Rico",18.34612,-67.23513,https://www.airbnb.com/rooms/4855655
Blue Haven Villa overlooking the Sparkling Ocean,957,"Dorado, Puerto Rico",18.45234,-66.32209,https://www.airbnb.com/rooms/42330407
Oceanfront Villa Chavaniac Entire house Vieques,860,"Vieques, Puerto Rico",18.15626,65.4404,https://www.airbnb.com/rooms/28223434
★Sleeps 24 |Great for Groups | Walk to Everything★,864,"Rincón, Puerto Rico",18.369,-67.26,https://www.airbnb.com/rooms/30319493
"FAMILY, GROUPS, YOUR PLACE ON THE BEACH-16 people",800,"San Juan, Puerto Rico",18.454,-66.058,https://www.airbnb.com/rooms/39210619
Las Casitas @ Hacienda Campo Rico,950,"Carolina, Puerto Rico",18.42122,-65.95089,https://www.airbnb.com/rooms/20469512
